symbol,entry_price,entry_date
ANANDRATHI,2146.800048828125,2026-07-12
ANANTRAJ,585.8499755859375,2026-07-12
BLUEJET,624.0499877929688,2026-07-12
CDSL,1431.9000244140625,2026-07-12
CHENNPETRO,1180.699951171875,2026-07-12
PAYTM,1341.800048828125,2026-07-12
OFSS,11651.0,2026-07-12
RBLBANK,380.6499938964844,2026-07-12
SAILIFE,1265.0,2026-07-12
SOLARINDS,18236.0,2026-07-12
TORNTPHARM,4901.5,2026-07-12
ABB,7667.5,2026-07-17
AIIL,519.6500244140625,2026-07-17
BHEL,434.0,2026-07-17
DIXON,14507.0,2026-07-17
IIFL,567.0999755859375,2026-07-17
JINDALSAW,268.04998779296875,2026-07-17
PGEL,620.9500122070312,2026-07-17
RKFORGE,589.7000122070312,2026-07-17
MOTHERSON,143.64999389648438,2026-07-17
SONACOMS,683.4000244140625,2026-07-17
TITAN,4625.7998046875,2026-07-17
BAJFINANCE,1056.300048828125,2026-07-19
BALRAMCHIN,604.4500122070312,2026-07-19
BHARATFORG,2190.5,2026-07-19
FEDERALBNK,349.0,2026-07-19
MPHASIS,2394.199951171875,2026-07-19
PTCIL,17941.0,2026-07-19
PIDILITIND,1566.0999755859375,2026-07-19
TECHM,1572.9000244140625,2026-07-19
BAJAJ-AUTO,11283.5,2026-07-24
BPCL,309.8500061035156,2026-07-24
PPLPHARMA,180.8300018310547,2026-07-24
TVSMOTOR,3919.800048828125,2026-07-24
UNITDSPR,1418.0,2026-07-24
DATAPATTNS,4584.5,2026-07-26
LALPATHLAB,1759.199951171875,2026-07-26
NESTLEIND,1443.5,2026-07-26
RRKABEL,2493.60009765625,2026-07-26
AJANTPHARM,3436.39990234375,2026-07-31
COFORGE,1742.9000244140625,2026-07-31
CRAFTSMAN,10047.0,2026-07-31
EICHERMOT,7830.5,2026-07-31
NYKAA,333.75,2026-07-31
MINDACORP,706.9000244140625,2026-07-31
REDINGTON,310.95001220703125,2026-07-31
TATATECH,751.3499755859375,2026-07-31
AUBANK,1047.300048828125,2026-08-02
ABCAPITAL,404.2999877929688,2026-08-02
APARINDS,14348.0,2026-08-02
BAJAJFINSV,2029.0999755859373,2026-08-02
BAJAJHLDNG,11343.0,2026-08-02
BELRISE,236.72999572753903,2026-08-02
CHOLAFIN,1849.9000244140625,2026-08-02
CONCORDBIO,1420.800048828125,2026-08-02
DIVISLAB,8056.0,2026-08-02
EMCURE,1960.0999755859373,2026-08-02
GAIL,181.44000244140625,2026-08-02
GLAXO,2655.39990234375,2026-08-02
MANAPPURAM,371.8500061035156,2026-08-02
NAVINFLUOR,7567.5,2026-08-02
NETWEB,4524.0,2026-08-02
PERSISTENT,5549.0,2026-08-02
TBOTEK,1531.199951171875,2026-08-02
ULTRACEMCO,11903.0,2026-08-02
AEGISLOG,1400.0,2026-08-07
AEGISVOPAK,288.70001220703125,2026-08-07
APOLLOHOSP,8974.5,2026-08-07
THELEELA,511.0,2026-08-07
PNBHOUSING,1150.0,2026-08-07
POONAWALLA,490.8500061035156,2026-08-07
SHRIRAMFIN,1141.0,2026-08-07
SBIN,1085.0,2026-08-07
WELCORP,1819.5999755859373,2026-08-07
BRIGADE,581.9500122070312,2026-08-09
BRITANNIA,5510.0,2026-08-09
GRASIM,3323.0,2026-08-09
HEROMOTOCO,5725.0,2026-08-09
INDIANB,889.5,2026-08-09
MGL,1139.5999755859375,2026-08-09
M&M,3502.0,2026-08-09
NEULANDLAB,22855.0,2026-08-09
UNIONBANK,183.6000061035156,2026-08-09
RITES,232.83999633789065,2026-08-10
APLAPOLLO,2064.300048828125,2026-08-14
FLUOROCHEM,4714.7001953125,2026-08-14
IPCALAB,1796.300048828125,2026-08-14
LT,4070.699951171875,2026-08-14
OBEROIRLTY,1846.0,2026-08-14
OLECTRA,1393.5,2026-08-14
ASAHIINDIA,939.2000122070312,2026-08-16
BHARTIARTL,1992.0999755859373,2026-08-16
DEVYANI,143.75999450683594,2026-08-16
HEG,701.0,2026-08-16
ABREL,1445.5,2026-08-21
ETERNAL,327.95001220703125,2026-08-21
KARURVYSYA,334.1000061035156,2026-08-21
MOTILALOFS,973.4000244140624,2026-08-21
NAM-INDIA,1232.5,2026-08-21
TEGA,1776.5,2026-08-21
APOLLOTYRE,439.7000122070313,2026-08-23
CARTRADE,3072.89990234375,2026-08-23
ENDURANCE,3029.5,2026-08-23
GRAVITA,1821.699951171875,2026-08-23
HOMEFIRST,1193.699951171875,2026-08-23
PRESTIGE,1631.0,2026-08-23
ADANIENSOL,1617.0,2026-08-28
ADANIENT,3169.0,2026-08-28
ABSLAMC,1046.5,2026-08-28
BALKRISIND,2352.10009765625,2026-08-28
CRISIL,4703.2001953125,2026-08-28
FIVESTAR,533.75,2026-08-28
GODREJPROP,2069.39990234375,2026-08-28
KOTAKBANK,424.2000122070313,2026-08-28
LAURUSLABS,1929.4000244140625,2026-08-28
SAGILITY,44.27000045776367,2026-08-28
SHYAMMETL,1042.4000244140625,2026-08-28
ATHERENERG,1616.300048828125,2026-08-30
CGCL,257.9800109863281,2026-08-30
ENGINERSIN,253.72000122070312,2026-08-30
GLENMARK,2515.0,2026-08-30
PARADEEP,165.8800048828125,2026-08-30
